用户定位开始位置经度	用户定位开始位置纬度
118777520	32067180
118641243	32056993
118813330	32018105
118761744	31991817
118763789	32080356
118761394	31991542
119021160	31655610
118702544	32132883
119037974	31638303
118796880	32048099
118841224	31925272
119023356	31689431
118792330	32049370
118784131	32036873
118887313	32125459
118898100	32092522
118762351	32105632
118891871	32323879
118841224	31925272
118771683	32003490
118809510	31910565
118880460	32330270
118934916	32122923
118756187	32222831
118731142	32064604
118880460	32330270
118906080	31895414
118718010	31982268
118951290	32053651
118738853	32140563
118795518	32045696
118810295	31897472
118898170	32092633
118866827	31967527
118898100	32092522
118742584	32065451
118737490	32002795
118764112	32013266
118868383	32119074
118716880	32129582
118868383	32119074
118811170	32117570
118863385	31950973
118868383	32119074
118737490	32002795
118860150	31905157
118708624	32109717
118658520	31928840
118880460	32330270
118685070	31979550
118812680	31875590
118853974	31769344
118790548	31903949
118808630	32013080
118803104	32004289
118824621	31977594
118825176	32128787
118739008	32011702
118723518	32003189
118743894	31980482
118769789	32064946
118864063	32033472
118664450	32067883
118773560	32071105
118898170	32092633
118825176	32128787
118771741	32073517
118790695	31902967
118853974	31769344
118913498	32096840
118836280	32133020
118802518	32116329
118819309	32318660
118849728	31999405
118730691	31955441
118823159	32044313
118841324	32131391
118716533	31974043
118757555	32236635
118791846	32012800
118819309	32318660
118749485	31983164
118915254	31929927
118700563	32116422
118715660	32017420
118802439	32021822
118802518	32116329
118819714	32136894
118799270	32010610
118630061	31898241
118898170	32092633
119046800	31655796
118796788	32056626
118689004	32105642
118714790	32185360
118728230	32014629
118854268	32116596
118847603	32109884
118786388	31953023
118725440	32142550
118641671	32053731
118702712	32110639
118942537	31930527
118866531	32356110
118807240	32000320
118815170	32015639
118839135	32313806
118878951	32128926
118809071	32013542
118911719	32002433
118757555	32236635
118789161	32088724
118829467	32083681
118838475	32016446
118755844	32037437
118894145	32089272
118854268	32116596
118754250	32059939
118754054	32013056
118774620	32068170
118727040	31949100
118708245	32113706
118761050	32024330
118721207	32108454
118665673	31907542
118776927	32044938
118819192	31956541
118832213	32029736
118854234	31960420
118832560	32019190
118771580	32024901
118736964	32092137
118703240	32109949
118859283	32107070
118765540	32110462
118896570	32092512
118727975	32044355
118743002	32094262
119030684	31647624
118819192	31956541
118732386	32087517
118785430	32064136
118696264	32025905
118768150	31999391
118856779	31958317
118754862	32039616
118711063	31980351
118803544	31943816
118764570	32072640
118752840	32019301
118775701	31997898
118792198	32003864
118929416	31980828
118897413	31883299
118757313	32013724
118810561	32029978
119044395	32063219
118725220	31999613
118589266	32052439
118657068	32172535
118693070	31940400
118760381	32110216
118494957	31945617
118830428	32139533
118836043	31912762
118842130	32034820
118768628	32042698
118753857	32244256
118855414	32348953
118810381	32329743
118819460	32068340
118834526	32098795
118810508	32077258
118727305	32027498
118742770	32031822
118802601	31941215
118826680	31899640
118732001	32137673
118879249	31689368
118804153	31965950
118837528	32334687
118894038	32085789
118913936	31897389
118870842	31948728
118642342	32037739
118793014	32008763
118765652	32018023
118897711	32095286
118604946	32072280
118849947	31955134
118769611	32027432
118722048	31965018
118803987	32040384
118805373	31844708
118906151	32065623
118841288	32130835
118821830	32083210
118731665	32045637
118905517	31892447
118721145	32013346
118750741	32144754
118751241	32082413
118805373	31844708
118927302	32060896
118642342	32037739
118946842	31362439
118782282	31907969
118646850	32062797
118756440	32083190
118853769	31962223
118946841	31362439
118810180	32060699
118946172	32056050
118913540	32089495
118879421	32129050
118739521	31977739
118798701	31339672
118800183	31929502
118839040	32087290
119043562	31661674
118844640	31923682
118613762	32075781
118905010	32113552
118754450	32042209
118740375	32075148
119043562	31661674
118943656	31360106
118715251	32018133
118870738	31334061
118803318	32047103
118881835	32119425
118900920	32100444
118855758	31963222
118904958	32010623
118753280	32073540
118760690	32031830
118634804	32064435
118844640	31923682
118739423	32055103
118639973	32059047
118739423	32055103
118779600	32062350
118803985	32004407
118815330	32043599
118905849	31341711
118757821	32089221
118855414	32348961
118764490	32032611
119011504	31928401
118839332	32348951
118736447	32079896
118785690	32054176
118712751	32140171
118800258	32032848
118776307	32049493
118712751	32140171
118814660	32112341
118866326	31963729
118828838	31902703
118753642	32082141
118794776	32406828
119011504	31928402
118792424	31968030
118790890	31897790
118682490	31900750
118927110	32058120
118850747	32361431
118742545	32054367
118882904	32148573
118783608	32073797
118725219	32165638
118794940	32040810
118920473	32215201
118820715	32018488
118854872	32349150
118763881	32232194
118833480	31901631
118832122	32017471
118793864	32011280
118831834	32024438
118825490	32132849
118797484	32010793
118851710	32355672
118855712	32120576
118744540	32067430
118762030	32094773
118776307	32049493
118847420	31926710
118735223	32078970
118758541	32087621
118771824	32077312
118892850	32167490
118853808	32349200
118884158	32094351
118818347	32088537
118721914	31982982
118765922	32079451
118857430	32008659
118769181	31994642
118643540	32057049
118953070	32124721
118813184	32024974
118812414	32022402
118817179	32031658
118802898	32101356
118816922	32041790
118859391	31688559
118814167	32107087
118946650	31901389
118624021	32067290
118686699	32094428
118826847	32334936
118807500	31997073
118800624	32036374
118809480	32027690
118746620	32224110
118807303	31967717
118802053	32042746
118754301	31919330
118894458	32085500
118755853	32072411
118890426	31890426
118779460	32109294
118887110	32125420
118847420	31926710
118808604	32040059
118714511	31971420
118763220	32093730
118714060	31960644
118606501	32079030
118722110	31965007
118641330	32070839
118789046	31961907
118929120	32098894
118739370	32003490
118716115	32135987
118763020	32073529
118716398	31976420
118810082	32075740
